Key,Value
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #09 SizeT,1
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #09 SizeX,1216
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #09 SizeY,1028
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #09 SizeZ,26
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #10 BitsPerPixel,16
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #10 DimensionOrder,XYCZT
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #10 IsInterleaved,false
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #10 IsRGB,false
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #10 LittleEndian,true
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #10 PixelType,uint16
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #10 SizeC,4
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #10 SizeT,1
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #10 SizeX,1216
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #10 SizeY,1028
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #10 SizeZ,26
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #11 BitsPerPixel,16
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #11 DimensionOrder,XYCZT
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #11 IsInterleaved,false
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #11 IsRGB,false
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #11 LittleEndian,true
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #11 PixelType,uint16
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #11 SizeC,4
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #11 SizeT,1
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #11 SizeX,1216
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #11 SizeY,1028
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #11 SizeZ,26
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #12 BitsPerPixel,16
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #12 DimensionOrder,XYCZT
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #12 IsInterleaved,false
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #12 IsRGB,false
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #12 LittleEndian,true
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #12 PixelType,uint16
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #12 SizeC,4
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #12 SizeT,1
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #12 SizeX,1216
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #12 SizeY,1028
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #12 SizeZ,26
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #13 BitsPerPixel,16
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #13 DimensionOrder,XYCZT
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #13 IsInterleaved,false
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #13 IsRGB,false
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #13 LittleEndian,true
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #13 PixelType,uint16
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #13 SizeC,4
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #13 SizeT,1
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #13 SizeX,1216
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #13 SizeY,1028
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #13 SizeZ,26
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #14 BitsPerPixel,16
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #14 DimensionOrder,XYCZT
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #14 IsInterleaved,false
